ft_attr;ftid;ptid;name
fme_feature_type;470;3779;type
fme_feature_type;470;3874;høyde
fme_feature_type;470;4072;installeringsår
fme_feature_type;470;3806;produktnavn
fme_feature_type;470;3543;produsentnavn
fme_feature_type;470;3518;eier
fme_feature_type;470;8106;vedlikeholdsansvarlig
fme_feature_type;470;10578;vedlikeholdsansvarlig_Navn
fme_feature_type;470;11131;prosjektreferanse
fme_feature_type;470;4987;posisjon
fme_feature_type;470;10579;senterlinje
fme_feature_type;609;5483;materialtype
fme_feature_type;609;5484;areal
fme_feature_type;609;7036;bredde_Gjennomsnitt
fme_feature_type;609;5544;utleggingsdato
fme_feature_type;609;8751;plassering
fme_feature_type;609;5540;budsjett
fme_feature_type;609;8118;vedlikeholdsansvarlig
fme_feature_type;609;11150;prosjektreferanse
fme_feature_type;609;6906;senterlinje
fme_feature_type;609;8898;område
fme_feature_type;517;4162;plantelivVerdi
fme_feature_type;517;9989;typeVegkant
fme_feature_type;517;4496;bakgrunn_Kort
fme_feature_type;517;10083;lokalitet
fme_feature_type;517;9994;spesiellBeskrivelseMerknad
fme_feature_type;517;9990;sone
fme_feature_type;517;4149;areal
fme_feature_type;517;9993;egenSkjøtselsplan
fme_feature_type;517;4163;restriksjonGrøftKantrensk
fme_feature_type;517;9991;sprøyteforbud
fme_feature_type;517;9992;restriksjonKantklipp
fme_feature_type;517;5018;senterlinje
fme_feature_type;517;8895;område
fme_feature_type;775;7917;navn
fme_feature_type;775;9370;typeTrafikkontroll
fme_feature_type;775;7918;merknad
fme_feature_type;162;9522;navn
fme_feature_type;162;3594;idNummer
fme_feature_type;162;9527;kontollretning
fme_feature_type;162;9525;fartsmåler_Type
fme_feature_type;162;9523;kamera_Type
fme_feature_type;162;9526;fartsmåler_Installeringsår
fme_feature_type;162;9524;kamera_Installeringsår
fme_feature_type;162;9521;eier
fme_feature_type;162;4828;posisjon
fme_feature_type;46;1256;bruksområde
fme_feature_type;46;1824;primæraktivitet
fme_feature_type;46;10670;typeTillatelse
fme_feature_type;46;1822;saksnummer
fme_feature_type;46;1825;stigning
fme_feature_type;46;1682;bredde
fme_feature_type;46;1823;avstandPersonaktivitet
fme_feature_type;46;1828;dreneringsforhold
fme_feature_type;46;10267;etableringsår
fme_feature_type;46;7993;eier
fme_feature_type;46;8056;vedlikeholdsansvarlig
fme_feature_type;46;4753;posisjon
fme_feature_type;815;9320;klasse
fme_feature_type;815;9321;senterlinje
fme_feature_type;791;8748;materialtype
fme_feature_type;791;8749;steinstørrelse
fme_feature_type;791;10408;byggeår
fme_feature_type;791;11154;prosjektreferanse
fme_feature_type;791;8874;senterlinje
fme_feature_type;335;2248;avstandVegkant_Start
fme_feature_type;335;7566;avstandVegkant_Slutt
fme_feature_type;335;2249;avstandReferanselinje_Start
fme_feature_type;335;7567;avstandReferanselinje_Slutt
fme_feature_type;335;2250;kvalitet
fme_feature_type;208;1283;bruksområde
fme_feature_type;208;10451;hovedForbasseng
fme_feature_type;208;10452;bunn
fme_feature_type;208;1378;areal
fme_feature_type;208;10455;innløpsløsning
fme_feature_type;208;10457;utløpsløsning
fme_feature_type;208;1394;volum
fme_feature_type;208;1660;vanndybde_Normal
fme_feature_type;208;3850;dybdeTilOverløp
fme_feature_type;208;10685;filtermasser
fme_feature_type;208;10454;slukkevann
fme_feature_type;208;10456;oljeutskilling
fme_feature_type;208;10268;byggeår
fme_feature_type;208;10082;driftsmerking
fme_feature_type;208;10460;tilleggsinformasjon
fme_feature_type;208;8010;eier
fme_feature_type;208;8077;vedlikeholdsansvarlig
fme_feature_type;208;11099;prosjektreferanse
fme_feature_type;208;4848;posisjon
fme_feature_type;208;8881;område
fme_feature_type;87;1272;bruksområde
fme_feature_type;87;2198;antall
fme_feature_type;87;1874;plassering
fme_feature_type;87;1883;avstandFraVegkant
fme_feature_type;87;2078;strømtilførsel_Kategori
fme_feature_type;87;8744;strømtilførsel_TypeKabel
fme_feature_type;87;10006;overbelastningsvern
fme_feature_type;87;8745;fellesføringMedAnnenEtat
fme_feature_type;87;10005;fellesføringLeietaker
fme_feature_type;87;1488;tilleggsinformasjon
fme_feature_type;87;10003;eier
fme_feature_type;87;10004;eier_Navn
fme_feature_type;87;1555;vedlikeholdsansvarlig
fme_feature_type;87;11072;prosjektreferanse
fme_feature_type;87;10852;FKB_ID
fme_feature_type;87;4787;posisjon
fme_feature_type;86;1271;bruksområde
fme_feature_type;86;1144;type
fme_feature_type;86;8396;navnPåStrekning
fme_feature_type;86;8404;tenningssystem
fme_feature_type;86;10001;dimming
fme_feature_type;86;3760;fjernstyring
fme_feature_type;86;1714;avstand_Innbyrdes
fme_feature_type;86;8740;luminansnivå
fme_feature_type;86;8399;byggeår
fme_feature_type;86;5810;eier
fme_feature_type;86;8397;eier_Navn
fme_feature_type;86;1554;vedlikeholdsansvarlig
fme_feature_type;86;4786;senterlinje
fme_feature_type;147;1279;bruksområde
